user,time,activity
Usuario25,09:01,Spinning
Usuario36,12:03,Spinning
Usuario13,18:02,Spinning
Usuario22,08:56,Spinning
Usuario33,09:03,Spinning
Usuario35,08:57,Spinning
Usuario0,12:04,Spinning
Usuario8,09:01,Spinning
Usuario6,11:58,Spinning
Usuario22,09:00,Spinning
Usuario28,08:56,Spinning
Usuario38,08:58,Spinning
Usuario11,17:56,Spinning
Usuario4,08:58,Spinning
Usuario24,09:02,Spinning
Usuario16,12:01,Spinning
Usuario26,08:59,Spinning
Usuario26,08:56,Spinning
Usuario21,17:56,Spinning
Usuario12,09:02,Spinning
Usuario19,12:01,Spinning
Usuario7,08:57,Spinning
Usuario28,18:03,Spinning
Usuario29,12:01,Spinning
Usuario0,11:59,Spinning
Usuario6,09:00,Spinning
Usuario18,09:01,Spinning
Usuario26,08:56,Spinning
Usuario5,09:04,Spinning
Usuario10,09:02,Spinning
Usuario15,09:00,Spinning
Usuario30,08:58,Spinning
Usuario39,11:57,Spinning
Usuario1,11:58,Spinning
Usuario16,08:59,Spinning
Usuario37,12:03,Spinning
Usuario38,18:02,Spinning
Usuario1,18:03,Spinning
Usuario10,09:02,Spinning
Usuario10,11:59,Spinning
Usuario15,09:04,Spinning
Usuario3,09:04,Spinning
Usuario6,18:00,Spinning
Usuario24,17:58,Spinning
Usuario24,09:00,Spinning
Usuario35,18:02,Spinning
Usuario7,08:56,Spinning
Usuario7,09:03,Spinning
Usuario7,11:57,Spinning
Usuario10,18:03,Spinning
Usuario10,12:02,Spinning
Usuario13,09:04,Spinning
Usuario20,11:58,Spinning
Usuario28,09:03,Spinning
Usuario18,08:59,Spinning
Usuario27,11:57,Spinning
Usuario17,12:02,Spinning
Usuario30,11:59,Spinning
Usuario25,09:03,Spinning
Usuario38,08:59,Spinning
Usuario30,08:58,Spinning
Usuario19,12:02,Spinning
Usuario21,08:57,Spinning
Usuario14,09:02,Spinning
Usuario33,18:02,Spinning
Usuario24,09:00,Spinning
Usuario4,18:00,Spinning
Usuario4,09:01,Spinning
Usuario35,09:03,Spinning
Usuario21,09:01,Spinning
Usuario11,18:02,Spinning
Usuario29,12:00,Spinning
Usuario33,09:01,Spinning
Usuario4,09:02,Spinning
Usuario13,11:58,Spinning
Usuario32,09:02,Spinning
Usuario37,09:03,Spinning
Usuario30,09:04,Spinning
Usuario9,09:04,Spinning
Usuario8,08:58,Spinning
