user,time,activity
Usuario6,08:59,Yoga
Usuario14,12:02,Yoga
Usuario2,09:03,Yoga
Usuario37,09:04,Yoga
Usuario9,17:58,Yoga
Usuario36,08:58,Yoga
Usuario2,08:56,Yoga
Usuario1,12:02,Yoga
Usuario29,09:00,Yoga
Usuario0,18:00,Yoga
Usuario13,12:00,Yoga
Usuario16,18:03,Yoga
Usuario33,12:00,Yoga
Usuario36,08:58,Yoga
Usuario35,08:58,Yoga
Usuario0,17:59,Yoga
Usuario11,11:59,Yoga
Usuario23,12:03,Yoga
Usuario31,09:03,Yoga
Usuario5,12:01,Yoga
Usuario18,12:04,Yoga
Usuario6,17:56,Yoga
Usuario29,18:00,Yoga
Usuario19,09:01,Yoga
Usuario32,08:56,Yoga
Usuario13,12:02,Yoga
Usuario14,08:59,Yoga
Usuario32,08:56,Yoga
Usuario13,09:02,Yoga
Usuario12,09:03,Yoga
Usuario38,17:57,Yoga
Usuario27,12:02,Yoga
Usuario25,17:57,Yoga
Usuario32,12:04,Yoga
Usuario38,12:04,Yoga
Usuario7,18:03,Yoga
Usuario2,08:58,Yoga
Usuario10,09:01,Yoga
Usuario3,12:00,Yoga
Usuario12,18:00,Yoga
Usuario31,17:58,Yoga
Usuario13,17:56,Yoga
Usuario26,11:56,Yoga
Usuario39,18:03,Yoga
Usuario29,11:59,Yoga
Usuario32,18:04,Yoga
Usuario27,11:57,Yoga
Usuario10,12:04,Yoga
Usuario21,17:59,Yoga
Usuario39,17:57,Yoga
Usuario23,09:03,Yoga
Usuario8,18:04,Yoga
Usuario13,09:00,Yoga
Usuario22,11:59,Yoga
Usuario37,09:01,Yoga
Usuario30,18:00,Yoga
Usuario6,17:57,Yoga
Usuario9,17:56,Yoga
Usuario27,17:59,Yoga
Usuario6,18:01,Yoga
Usuario16,09:03,Yoga
Usuario6,08:57,Yoga
Usuario5,18:03,Yoga
Usuario15,18:03,Yoga
Usuario33,18:00,Yoga
Usuario18,17:59,Yoga
Usuario18,11:57,Yoga
Usuario15,09:01,Yoga
Usuario8,09:04,Yoga
Usuario29,18:00,Yoga
Usuario4,12:03,Yoga
Usuario0,17:56,Yoga
Usuario15,17:57,Yoga
Usuario23,08:56,Yoga
Usuario1,09:00,Yoga
Usuario26,11:59,Yoga
Usuario28,09:01,Yoga
Usuario3,18:01,Yoga
Usuario29,09:00,Yoga
Usuario17,09:03,Yoga
Usuario24,08:58,Yoga
Usuario20,08:58,Yoga
Usuario18,08:56,Yoga
Usuario24,08:57,Yoga
Usuario5,12:03,Yoga
Usuario28,12:00,Yoga
Usuario5,12:03,Yoga
Usuario0,18:04,Yoga
Usuario2,11:59,Yoga
Usuario23,09:03,Yoga
Usuario21,08:59,Yoga
Usuario4,11:58,Yoga
Usuario15,08:56,Yoga
Usuario6,08:59,Yoga
Usuario4,18:03,Yoga
Usuario25,09:02,Yoga
Usuario23,17:59,Yoga
Usuario36,08:56,Yoga
Usuario9,09:03,Yoga
Usuario11,17:58,Yoga
Usuario39,08:58,Yoga
Usuario28,12:02,Yoga
Usuario30,08:59,Yoga
Usuario38,12:04,Yoga
Usuario0,18:02,Yoga
Usuario0,17:58,Yoga
Usuario18,18:01,Yoga
Usuario0,09:02,Yoga
Usuario0,08:56,Yoga
Usuario27,08:59,Yoga
Usuario6,11:58,Yoga
Usuario22,18:03,Yoga
Usuario9,09:03,Yoga
Usuario10,17:56,Yoga
Usuario1,11:58,Yoga
Usuario29,09:03,Yoga
Usuario27,11:56,Yoga
Usuario37,08:57,Yoga
Usuario18,11:59,Yoga
Usuario9,17:56,Yoga
Usuario32,08:59,Yoga
Usuario19,08:56,Yoga
Usuario3,18:04,Yoga
Usuario6,08:58,Yoga
Usuario7,11:57,Yoga
Usuario15,08:56,Yoga
Usuario22,08:57,Yoga
Usuario3,18:04,Yoga
Usuario13,09:03,Yoga
Usuario14,09:00,Yoga
Usuario21,17:56,Yoga
Usuario1,09:04,Yoga
Usuario35,09:02,Yoga
Usuario25,08:57,Yoga
Usuario8,08:57,Yoga
Usuario19,09:01,Yoga
Usuario4,08:58,Yoga
Usuario22,08:57,Yoga
Usuario22,08:58,Yoga
Usuario6,12:04,Yoga
Usuario27,12:03,Yoga
Usuario13,08:59,Yoga
Usuario21,09:03,Yoga
Usuario3,12:03,Yoga
Usuario11,11:56,Yoga
Usuario12,17:57,Yoga
Usuario23,12:01,Yoga
Usuario4,18:02,Yoga
Usuario4,09:03,Yoga
Usuario11,08:57,Yoga
Usuario30,09:03,Yoga
Usuario21,09:04,Yoga
Usuario6,11:58,Yoga
Usuario18,11:56,Yoga
Usuario27,17:56,Yoga
Usuario39,09:02,Yoga
Usuario37,08:58,Yoga
Usuario26,17:59,Yoga
Usuario33,09:02,Yoga
Usuario21,09:03,Yoga
Usuario0,17:56,Yoga
Usuario25,09:01,Yoga
Usuario25,09:04,Yoga
Usuario28,12:03,Yoga
Usuario4,12:04,Yoga
Usuario8,08:57,Yoga
Usuario6,09:02,Yoga
Usuario34,18:04,Yoga
Usuario39,08:59,Yoga
Usuario14,08:59,Yoga
Usuario27,17:57,Yoga
Usuario26,08:59,Yoga
Usuario30,09:02,Yoga
Usuario10,12:02,Yoga
Usuario26,18:01,Yoga
Usuario7,09:04,Yoga
Usuario13,17:58,Yoga
Usuario19,12:02,Yoga
Usuario1,08:56,Yoga
Usuario0,17:56,Yoga
Usuario24,18:01,Yoga
Usuario2,11:58,Yoga
Usuario31,09:01,Yoga
Usuario29,11:58,Yoga
Usuario29,08:58,Yoga
Usuario3,09:02,Yoga
Usuario31,17:57,Yoga
Usuario19,08:56,Yoga
Usuario2,08:58,Yoga
Usuario32,12:02,Yoga
Usuario25,09:04,Yoga
